pair0,pair1,idx
441,305,1162
392,260,1163
445,287,1164
84,261,1165
301,108,1166
757,101,1167
293,291,1168
115,257,1169
343,299,1170
283,86,1171
283,469,1172
102,805,1173
102,477,1174
315,114,1175
301,287,1176
489,299,1177
421,358,1178
258,535,1179
277,451,1180
99,477,1181
411,900,1182
1174,376,1183
473,338,1184
108,634,1185
473,297,1186
374,336,1187
438,422,1188
381,259,1189
522,285,1190
271,100,1191
97,421,1192
115,323,1193
399,390,1194
592,274,1195
704,257,1196
668,271,1197
310,313,1198
97,765,1199
746,589,1200
307,114,1201
74,434,1202
99,378,1203
543,310,1204
304,279,1205
397,573,1206
118,814,1207
651,365,1208
34,32,1209
114,431,1210
504,116,1211
109,266,1212
263,109,1213
947,425,1214
98,263,1215
97,334,1216
117,109,1217
78,272,1218
600,881,1219
313,118,1220
110,560,1221
102,297,1222
981,340,1223
264,291,1224
417,1062,1225
1020,988,1226
850,259,1227
313,261,1228
489,1223,1229
433,257,1230
257,277,1231
108,297,1232
116,405,1233
304,364,1234
408,106,1235
112,264,1236
307,99,1237
372,319,1238
1118,103,1239
98,344,1240
564,272,1241
374,277,1242
116,294,1243
269,86,1244
368,281,1245
986,893,1246
112,111,1247
313,604,1248
445,285,1249
265,262,1250
559,317,1251
294,116,1252
102,310,1253
112,344,1254
371,281,1255
109,823,1256
691,272,1257
357,428,1258
303,333,1259
287,377,1260
796,98,1261
99,434,1262
916,325,1263
362,281,1264
652,440,1265
112,389,1266
1249,774,1267
803,674,1268
289,370,1269
257,364,1270
846,259,1271
99,261,1272
969,259,1273
282,650,1274
105,471,1275
257,509,1276
452,272,1277
283,498,1278
887,264,1279
463,385,1280
110,390,1281
461,292,1282
277,400,1283
983,425,1284
342,262,1285
376,285,1286
559,830,1287
109,282,1288
114,502,1289
48,32,1290
97,320,1291
84,743,1292
402,262,1293
299,422,1294
313,382,1295
292,279,1296
115,354,1297
315,474,1298
106,323,1299
109,271,1300
316,267,1301
283,495,1302
264,369,1303
114,335,1304
757,282,1305
313,561,1306
257,383,1307
685,596,1308
381,272,1309
269,498,1310
588,539,1311
1305,1121,1312
350,909,1313
118,1097,1314
269,495,1315
73,110,1316
307,118,1317
106,111,1318
120,416,1319
330,925,1320
378,304,1321
453,300,1322
274,259,1323
294,949,1324
418,277,1325
116,308,1326
632,272,1327
118,310,1328
116,784,1329
330,286,1330
473,368,1331
410,100,1332
884,256,1333
99,631,1334
378,99,1335
111,625,1336
360,273,1337
407,279,1338
118,402,1339
393,432,1340
