pair0,pair1,idx
493,561,1173
649,313,1174
271,260,1175
304,421,1176
105,324,1177
261,260,1178
327,320,1179
115,310,1180
471,320,1181
590,564,1182
651,448,1183
364,370,1184
897,717,1185
301,433,1186
288,77,1187
257,423,1188
341,290,1189
593,256,1190
336,803,1191
830,887,1192
99,310,1193
101,303,1194
572,108,1195
116,269,1196
112,259,1197
109,273,1198
102,117,1199
562,449,1200
533,116,1201
331,279,1202
351,116,1203
938,711,1204
112,275,1205
115,277,1206
107,377,1207
109,121,1208
267,107,1209
104,362,1210
97,422,1211
105,122,1212
295,110,1213
73,472,1214
99,300,1215
959,297,1216
390,285,1217
111,107,1218
560,115,1219
662,111,1220
974,334,1221
301,547,1222
526,299,1223
430,286,1224
551,256,1225
372,523,1226
616,443,1227
109,517,1228
102,362,1229
629,101,1230
258,532,1231
262,573,1232
444,121,1233
99,1186,1234
382,696,1235
267,510,1236
263,767,1237
355,116,1238
299,283,1239
327,1115,1240
905,350,1241
262,101,1242
99,259,1243
303,951,1244
606,260,1245
578,356,1246
808,379,1247
629,284,1248
405,121,1249
801,297,1250
103,103,1251
261,425,1252
411,563,1253
281,329,1254
98,298,1255
275,510,1256
289,448,1257
426,32,1258
344,285,1259
273,121,1260
117,109,1261
258,537,1262
331,498,1263
405,269,1264
884,495,1265
115,107,1266
103,369,1267
262,575,1268
112,515,1269
338,365,1270
331,540,1271
274,569,1272
430,1138,1273
115,388,1274
864,321,1275
108,362,1276
267,320,1277
792,110,1278
395,283,1279
371,295,1280
258,384,1281
286,319,1282
327,445,1283
1230,107,1284
403,308,1285
662,265,1286
100,121,1287
619,817,1288
376,256,1289
351,302,1290
317,313,1291
687,97,1292
315,334,1293
316,286,1294
258,328,1295
262,118,1296
99,279,1297
350,32,1298
104,273,1299
270,282,1300
571,814,1301
390,274,1302
97,344,1303
1101,275,1304
381,283,1305
99,114,1306
528,391,1307
843,366,1308
459,256,1309
578,265,1310
396,278,1311
551,104,1312
97,117,1313
491,101,1314
574,713,1315
392,289,1316
364,400,1317
380,333,1318
115,280,1319
318,116,1320
102,878,1321
104,496,1322
788,350,1323
98,514,1324
304,847,1325
117,913,1326
300,730,1327
794,598,1328
674,256,1329
430,894,1330
546,286,1331
345,524,1332
77,270,1333
260,366,1334
529,677,1335
115,292,1336
1046,263,1337
310,302,1338
657,283,1339
100,262,1340
813,265,1341
353,258,1342
121,386,1343
316,101,1344
429,389,1345
374,386,1346
97,384,1347
98,537,1348
368,462,1349
98,373,1350
616,399,1351
291,558,1352
336,302,1353
99,320,1354
103,97,1355
382,260,1356
477,32,1357
914,116,1358
341,1275,1359
300,263,1360
854,265,1361
539,810,1362
1119,110,1363
370,107,1364
424,314,1365
97,351,1366
399,344,1367
369,109,1368
435,654,1369
504,285,1370
112,328,1371
374,259,1372
331,277,1373
98,1110,1374
636,280,1375
109,381,1376
370,814,1377
505,117,1378
576,812,1379
1081,356,1380
380,337,1381
378,111,1382
115,460,1383
115,279,1384
512,498,1385
454,116,1386
460,479,1387
262,427,1388
477,101,1389
304,624,1390
105,448,1391
97,557,1392
369,266,1393
312,100,1394
327,970,1395
606,292,1396
262,681,1397
498,418,1398
298,291,1399
1001,516,1400
258,275,1401
108,1378,1402
48,48,1403
262,547,1404
306,101,1405
690,266,1406
482,116,1407
117,259,1408
276,916,1409
460,791,1410
296,433,1411
712,797,1412
100,305,1413
98,384,1414
290,438,1415
367,354,1416
522,118,1417
509,563,1418
736,458,1419
375,323,1420
398,101,1421
351,277,1422
329,104,1423
262,256,1424
755,286,1425
108,273,1426
84,86,1427
267,99,1428
65,1323,1429
738,283,1430
275,294,1431
313,1069,1432
608,282,1433
444,269,1434
721,561,1435
454,281,1436
407,281,1437
414,366,1438
755,523,1439
376,499,1440
118,299,1441
505,263,1442
115,263,1443
289,108,1444
270,538,1445
100,117,1446
410,115,1447
310,116,1448
328,286,1449
304,338,1450
1016,107,1451
674,1161,1452
492,377,1453
808,473,1454
526,268,1455
795,116,1456
103,399,1457
551,340,1458
279,256,1459
107,1074,1460
683,121,1461
338,340,1462
961,107,1463
273,109,1464
644,979,1465
572,388,1466
398,109,1467
509,363,1468
426,256,1469
260,344,1470
621,446,1471
618,32,1472
454,259,1473
295,499,1474
416,310,1475
694,298,1476
831,410,1477
359,287,1478
539,116,1479
1139,456,1480
660,115,1481
460,458,1482
357,109,1483
945,280,1484
99,559,1485
1409,294,1486
292,285,1487
727,32,1488
661,101,1489
268,256,1490
46,1011,1491
457,32,1492
103,316,1493
321,101,1494
828,121,1495
1010,263,1496
371,556,1497
437,111,1498
306,111,1499
101,498,1500
44,280,1501
258,802,1502
318,803,1503
1318,269,1504
97,296,1505
119,265,1506
811,374,1507
572,270,1508
283,374,1509
100,1027,1510
118,298,1511
389,285,1512
742,32,1513
353,422,1514
296,102,1515
99,440,1516
334,256,1517
98,97,1518
109,298,1519
868,107,1520
351,591,1521
583,559,1522
291,455,1523
620,589,1524
1333,410,1525
282,326,1526
321,356,1527
104,392,1528
282,101,1529
102,111,1530
336,1113,1531
909,100,1532
278,417,1533
275,575,1534
102,370,1535
364,515,1536
597,339,1537
435,385,1538
1042,101,1539
710,448,1540
114,356,1541
690,32,1542
321,99,1543
661,256,1544
117,448,1545
1273,709,1546
107,299,1547
580,676,1548
109,400,1549
279,259,1550
102,405,1551
296,425,1552
1263,279,1553
105,112,1554
67,267,1555
103,105,1556
115,348,1557
111,480,1558
856,452,1559
521,278,1560
1276,306,1561
329,259,1562
267,115,1563
258,608,1564
411,408,1565
769,121,1566
1455,307,1567
300,105,1568
312,266,1569
332,292,1570
315,688,1571
1386,314,1572
115,99,1573
437,275,1574
262,680,1575
396,438,1576
404,292,1577
276,384,1578
497,99,1579
750,356,1580
519,1015,1581
519,121,1582
344,337,1583
827,385,1584
272,330,1585
1187,269,1586
780,518,1587
497,448,1588
301,446,1589
270,584,1590
546,119,1591
497,109,1592
109,1160,1593
680,499,1594
476,283,1595
475,401,1596
296,99,1597
381,115,1598
1103,443,1599
99,1219,1600
1040,744,1601
366,337,1602
905,263,1603
107,732,1604
73,596,1605
1241,1003,1606
451,595,1607
1210,103,1608
516,120,1609
102,588,1610
118,277,1611
653,1433,1612
467,339,1613
300,101,1614
104,1177,1615
288,76,1616
291,626,1617
1133,466,1618
1105,256,1619
267,851,1620
288,67,1621
112,400,1622
102,1134,1623
97,286,1624
1351,527,1625
105,299,1626
297,401,1627
1017,283,1628
105,318,1629
51,48,1630
115,362,1631
119,451,1632
107,600,1633
292,605,1634
292,613,1635
291,507,1636
359,115,1637
338,279,1638
400,323,1639
655,786,1640
331,284,1641
428,121,1642
345,270,1643
317,421,1644
352,116,1645
497,404,1646
827,278,1647
275,99,1648
459,316,1649
100,1442,1650
344,939,1651
105,296,1652
1340,1018,1653
315,116,1654
373,514,1655
325,104,1656
1076,1449,1657
352,932,1658
867,292,1659
99,385,1660
655,334,1661
119,441,1662
604,302,1663
115,275,1664
977,261,1665
264,267,1666
329,107,1667
306,105,1668
509,474,1669
99,381,1670
109,1300,1671
114,708,1672
325,350,1673
383,438,1674
874,457,1675
444,120,1676
288,80,1677
119,881,1678
109,933,1679
546,117,1680
264,826,1681
943,473,1682
292,322,1683
102,564,1684
444,1287,1685
403,117,1686
303,849,1687
285,732,1688
85,110,1689
1010,305,1690
301,281,1691
110,1126,1692
435,401,1693
257,82,1694
750,275,1695
374,267,1696
286,535,1697
110,302,1698
338,408,1699
111,98,1700
336,116,1701
309,305,1702
1118,1258,1703
269,278,1704
792,499,1705
353,740,1706
296,866,1707
325,1326,1708
315,101,1709
372,103,1710
450,278,1711
272,587,1712
935,409,1713
721,524,1714
39,114,1715
704,501,1716
107,307,1717
73,642,1718
801,323,1719
1680,324,1720
985,262,1721
371,658,1722
98,273,1723
115,1268,1724
859,100,1725
298,375,1726
421,256,1727
424,842,1728
116,101,1729
99,532,1730
321,260,1731
922,32,1732
257,74,1733
100,273,1734
292,415,1735
114,326,1736
566,116,1737
927,107,1738
1551,259,1739
115,355,1740
1127,400,1741
98,693,1742
299,101,1743
464,280,1744
105,433,1745
1514,458,1746
103,110,1747
374,676,1748
115,317,1749
607,573,1750
305,278,1751
279,538,1752
275,617,1753
671,323,1754
108,32,1755
435,507,1756
435,531,1757
1234,101,1758
258,312,1759
353,748,1760
277,291,1761
622,318,1762
257,75,1763
430,109,1764
1267,259,1765
432,308,1766
1377,381,1767
411,966,1768
512,1762,1769
839,588,1770
388,337,1771
108,282,1772
338,256,1773
273,893,1774
1382,377,1775
118,356,1776
109,1292,1777
1657,109,1778
1057,121,1779
304,408,1780
416,383,1781
411,363,1782
307,739,1783
763,280,1784
99,307,1785
549,1038,1786
44,281,1787
100,452,1788
112,501,1789
399,1171,1790
258,816,1791
484,1385,1792
273,1431,1793
911,110,1794
271,822,1795
310,260,1796
114,496,1797
276,882,1798
292,611,1799
119,300,1800
612,387,1801
292,395,1802
116,313,1803
455,285,1804
112,1568,1805
1330,121,1806
860,399,1807
1807,296,1808
99,325,1809
704,101,1810
1313,425,1811
100,275,1812
297,339,1813
794,1541,1814
342,335,1815
331,609,1816
298,303,1817
528,284,1818
544,285,1819
577,310,1820
112,270,1821
386,313,1822
419,310,1823
407,283,1824
121,111,1825
257,34,1826
309,317,1827
278,406,1828
291,818,1829
342,273,1830
100,1811,1831
258,1590,1832
331,302,1833
1401,110,1834
100,270,1835
286,699,1836
116,256,1837
100,1368,1838
1077,116,1839
111,108,1840
387,1108,1841
513,1490,1842
578,269,1843
111,449,1844
493,1314,1845
1051,263,1846
266,366,1847
348,32,1848
370,320,1849
392,101,1850
1022,259,1851
341,705,1852
273,269,1853
329,343,1854
267,575,1855
428,116,1856
482,1823,1857
97,332,1858
1227,1643,1859
619,349,1860
370,510,1861
811,389,1862
403,112,1863
292,530,1864
541,709,1865
111,115,1866
302,285,1867
104,279,1868
65,1808,1869
100,260,1870
117,354,1871
533,102,1872
1048,280,1873
1397,280,1874
341,407,1875
667,401,1876
736,360,1877
1587,269,1878
1407,405,1879
505,532,1880
115,368,1881
536,269,1882
107,392,1883
286,316,1884
1548,389,1885
403,788,1886
115,413,1887
433,489,1888
753,414,1889
286,473,1890
350,121,1891
1091,532,1892
704,266,1893
965,689,1894
1530,284,1895
769,269,1896
264,384,1897
310,418,1898
311,323,1899
256,366,1900
261,306,1901
97,383,1902
58,1630,1903
396,462,1904
101,102,1905
519,717,1906
101,489,1907
298,355,1908
119,534,1909
397,1546,1910
813,358,1911
494,691,1912
1221,517,1913
1641,273,1914
274,596,1915
883,32,1916
484,116,1917
286,622,1918
698,116,1919
375,297,1920
334,262,1921
98,546,1922
103,634,1923
553,1122,1924
660,260,1925
